WEIGHT,STRATUM,PSU,age,sex,race,pregprev
2.2166,103,10810,14,1,1,4
2.5041,103,10810,14,1,2,3
2.5041,103,10810,15,1,2,
2.2166,103,10810,16,1,1,1
2.1956,103,10810,15,2,1,
2.1956,103,10810,15,2,1,4
2.2166,103,10810,15,1,1,3
2.2166,103,10810,16,1,1,2
2.1956,103,10810,15,2,1,4
2.2166,103,10810,15,1,1,
2.5041,103,10810,15,1,2,
2.1956,103,10810,15,2,1,4
2.1956,103,10810,15,2,1,4
2.1956,103,10810,15,2,1,
2.2166,103,10810,15,1,1,
0.9846,103,10810,16,2,1,3
2.1956,103,10810,15,2,1,3
2.2166,103,10810,15,1,1,
2.1956,103,10810,15,2,1,5
2.1956,103,10810,15,2,1,3
2.2166,103,10810,14,1,1,4
2.1956,103,10810,15,2,1,
0.665,103,10810,18,1,1,2
0.494,103,10810,18,1,3,3
0.666,103,10810,18,1,2,1
0.665,103,10810,18,1,,1
0.665,103,10810,18,1,1,3
0.494,103,10810,18,1,3,
0.768,103,10810,17,2,2,3
0.665,103,10810,18,1,1,1
0.8194,103,10810,18,2,1,
0.8194,103,10810,18,2,1,3
0.665,103,10810,18,1,1,3
0.665,103,10810,18,1,1,
0.666,103,10810,17,1,2,
0.8194,103,10810,18,2,1,
0.8194,103,10810,18,2,1,3
0.8194,103,10810,18,2,1,
0.6294,103,10810,16,1,2,1
0.6288,103,10810,17,1,1,
0.6288,103,10810,17,1,1,
0.6288,103,10810,16,1,1,2
0.8596,103,10810,17,2,1,3
0.6458,103,10810,16,2,3,3
0.6458,103,10810,17,2,3,3
0.6288,103,10810,17,1,1,
0.6288,103,10810,16,1,1,2
0.5649,103,10810,18,2,3,3
0.8596,103,10810,17,2,1,2
0.6294,103,10810,17,1,2,3
0.5344,103,10810,18,1,3,2
0.9018,103,10810,17,2,2,3
0.8596,103,10810,17,2,1,
0.8596,103,10810,17,2,1,4
0.8596,103,10810,16,2,1,4
0.6288,103,10810,16,1,1,4
0.9846,103,10810,16,2,1,
0.9846,103,10810,16,2,1,
1.2735,103,10810,16,2,2,
0.6061,103,10810,15,1,1,
0.6061,103,10810,16,1,1,3
0.9846,103,10810,16,2,1,4
0.6061,103,10810,16,1,1,
0.9846,103,10810,15,2,1,
0.3397,103,10810,15,2,,3
0.6061,103,10810,16,1,1,
0.6061,103,10810,16,1,1,
0.6061,103,10810,16,1,1,
0.6061,103,10810,16,1,1,
0.6061,103,10810,16,1,1,
0.6944,103,10810,16,1,2,3
0.6061,103,10810,16,1,1,
0.6061,103,10810,16,1,1,
0.4075,103,10810,18,2,2,
0.482,103,10810,18,1,1,
0.4828,103,10810,18,1,2,
0.4828,103,10810,18,1,2,3
0.4828,103,10810,18,1,2,1
0.4075,103,10810,18,2,2,
0.4828,103,10810,18,1,2,
0.4075,103,10810,18,2,2,
0.4075,103,10810,18,2,2,
0.4075,103,10810,18,2,2,3
0.4828,103,10810,18,1,2,3
0.4828,103,10810,18,1,2,1
0.5173,103,10810,18,1,2,
0.4828,103,10810,18,1,2,1
0.4828,103,10810,17,1,2,5
0.5622,103,10810,,,,3
0.482,103,10810,17,1,1,4
0.4828,103,10810,18,1,2,2
0.2998,103,10810,17,2,3,
0.4075,103,10810,17,2,2,1
0.4075,103,10810,18,2,2,1
0.4075,103,10810,17,2,2,2
0.4075,103,10810,18,2,2,
0.4075,103,10810,18,2,2,
0.4348,103,10810,18,2,1,
0.4075,103,10810,18,2,2,
0.4075,103,10810,18,2,2,
0.4828,103,10810,18,1,2,
0.4075,103,10810,18,2,2,
0.4828,103,10810,18,1,2,5
0.4075,103,10810,18,2,2,
0.482,103,10810,17,1,1,4
0.4828,103,10810,17,1,2,4
0.4828,103,10810,18,1,2,
0.4828,103,10810,18,1,2,2
0.4075,103,10810,17,2,2,
0.4075,103,10810,18,2,2,
0.4348,103,10810,18,2,1,
0.482,103,10810,17,1,1,
