Analysis weight,Current age,4-level race variable,Ever had sexual intercourse,At at first sex,Lifetime number of sexual partners
0.3742,.,.,Yes,14,2
2.1983,.,.,Yes,15,2
0.6675,.,Hispanic,No,.,.
0.3733,.,.,Yes,15,2
1.138,.,.,Yes,13,2
0.2747,.,.,Yes,16,3
1.2953,.,.,Yes,11,4
0.5843,.,.,No,.,.
1.1738,.,.,No,.,.
1.8964,.,.,Yes,12,6
0.8019,.,.,No,.,.
0.6165,.,.,Yes,15,1
3.8297,.,.,No,.,.
0.1871,.,Hispanic,.,.,.
1.8763,.,.,No,.,.
0.1352,.,Black,No,.,.
1.8915,.,.,.,.,.
1.9774,.,.,No,.,.
1.6377,.,.,Yes,17,1
1.9928,.,.,Yes,14,5
0.642,.,Black,Yes,15,4
1.1427,.,.,Yes,16,1
0.5943,.,.,No,.,.
0.258,.,.,No,.,.
1.4534,.,.,Yes,15,4
0.6769,.,.,.,.,.
0.1418,.,Other,No,.,.
1.3264,.,Hispanic,.,.,.
1.3264,.,Hispanic,.,.,.
1.3264,.,Hispanic,.,.,.
1.3264,.,Hispanic,.,.,.
1.9251,.,Hispanic,.,.,.
0.1403,.,Black,.,.,.
0.695,.,Hispanic,Yes,11,6
1.6227,.,White,Yes,11,2
0.0331,.,Hispanic,Yes,11,1
0.605,.,Black,Yes,11,2
0.5729,.,Hispanic,Yes,.,3
1.8769,13,Black,No,.,.
1.0325,13,Hispanic,.,.,.
0.4466,13,Hispanic,Yes,11,2
2.0369,13,White,No,.,.
1.0448,13,White,No,.,.
1.5828,14,Black,No,.,.
1.7137,14,White,No,.,.
1.7137,14,White,No,.,.
2.4061,14,Black,Yes,13,4
2.4061,14,Black,No,.,.
3.0841,14,Other,No,.,.
1.6182,14,White,Yes,14,1
1.6182,14,White,No,.,.
1.6182,14,White,No,.,.
1.6182,14,White,No,.,.
0.5435,14,Other,No,.,.
0.5435,14,.,No,.,.
0.5435,14,Other,No,.,.
0.5435,14,Other,No,.,.
0.5435,14,Other,No,.,.
0.5435,14,Other,No,.,.
0.5435,14,Other,No,.,.
0.5435,14,Other,No,.,.
1.7281,14,White,No,.,.
0.9354,14,Hispanic,No,.,.
1.7281,14,White,No,.,.
1.7281,14,White,No,.,.
1.7281,14,White,No,.,.
2.2193,14,White,No,.,.
2.2193,14,White,No,.,.
0.6767,14,Black,No,.,.
0.6767,14,Black,No,.,.
0.6767,14,Black,No,.,.
0.6767,14,Black,No,.,.
0.6767,14,Black,No,.,.
1.6821,14,Hispanic,.,.,.
0.8333,14,Hispanic,No,.,.
0.8333,14,Hispanic,Yes,14,2
0.8811,14,White,No,.,.
0.8811,14,White,Yes,13,1
0.4115,14,Black,Yes,11,2
0.4115,14,Black,Yes,13,3
0.4115,14,Black,No,.,.
0.4214,14,Hispanic,No,.,.
0.4214,14,Hispanic,No,.,.
0.4214,14,Hispanic,.,.,.
0.4115,14,Black,No,.,.
0.4214,14,Hispanic,Yes,12,2
0.4115,14,Black,No,.,.
2.1467,14,Black,Yes,14,2
2.1467,14,Black,.,.,.
2.1467,14,Black,No,.,.
1.85,14,.,Yes,13,1
1.85,14,White,No,.,.
0.6675,14,Hispanic,.,.,.
0.6675,14,Hispanic,No,.,.
0.6675,14,Hispanic,Yes,12,1
0.6675,14,Hispanic,No,.,.
0.7058,14,White,No,.,.
0.6675,14,Hispanic,.,.,.
0.6675,14,Hispanic,No,.,.
0.6675,14,Hispanic,No,.,.
0.6675,14,Hispanic,No,.,.
2.1983,14,Hispanic,No,.,.
0.4115,14,Black,No,.,.
0.4115,14,Black,Yes,13,1
0.2651,14,Other,No,.,.
0.2118,14,Hispanic,No,.,.
0.2118,14,Hispanic,No,.,.
0.2118,14,Hispanic,No,.,.
1.7038,14,Hispanic,No,.,.
1.7038,14,Hispanic,No,.,.
1.7038,14,Hispanic,No,.,.
0.8333,14,Hispanic,No,.,.
0.8811,14,White,Yes,14,1
0.8333,14,Hispanic,Yes,12,3
0.7013,14,Black,No,.,.
0.7013,14,Black,No,.,.
0.6767,14,Black,No,.,.
0.9904,14,White,No,.,.
0.9147,14,Black,No,.,.
0.9904,14,White,No,.,.
0.9904,14,White,No,.,.
0.9904,14,White,No,.,.
